Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur
1282,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,32.0,1992.0,19,19,1491,0.2414486921529175,0.0,0.2414486921529175,0.3018108651911469,0.0,0.10865191146881288,0.10865191146881288,0.030181086519114688,0.96579476861167,3.6217303822937628,2.2937625754527162,0.7847082494969819,0.482897384305835,0.4225352112676056,2.052313883299799,1.0261569416498995,2.7162977867203217,2.4144869215291753,0.18108651911468815,59.03420523138833,0.3018108651911469,0.6036217303822938,0.3018108651911469,1.1468812877263581,0.0,0.0,0.0,3.7424547283702214,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0
1283,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,es La Liga,23.0,2001.0,25,17,1559,0.28864656831302116,0.0,0.28864656831302116,0.28864656831302116,0.0,0.16741500962155226,0.16741500962155226,0.15586914688903145,5.715202052597819,4.1565105837075045,9.005772931366261,1.6741500962155227,0.6350224502886466,1.8473380372033354,1.2123155869146889,0.750481077613855,0.5195638229634381,0.5195638229634381,0.05772931366260423,51.26363053239256,2.8287363694676073,3.3483001924310454,1.962796664528544,0.8082103912764593,0.0,0.0,0.0,4.733803720333547,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0
1284,Mohammed Kudus,gh GHA,"MF,FW",West Ham,eng Premier League,24.0,2000.0,22,22,1815,0.1487603305785124,0.04958677685950413,0.1487603305785124,0.0,0.04958677685950413,0.28264462809917357,0.28264462809917357,0.09917355371900825,3.520661157024793,2.975206611570248,7.785123966942148,2.7768595041322315,0.793388429752066,1.0413223140495866,1.487603305785124,0.9421487603305785,0.1983471074380165,0.24793388429752067,0.09917355371900825,44.72727272727273,3.421487603305785,2.628099173553719,3.371900826446281,1.2892561983471074,0.0,0.0,0.0,4.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0
1285,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,eng Premier League,24.0,2000.0,27,24,2154,0.29247910863509746,0.1671309192200557,0.29247910863509746,0.12534818941504178,0.0,0.1713091922005571,0.1713091922005571,0.25487465181058494,4.805013927576602,4.930362116991644,8.314763231197771,1.796657381615599,0.6685236768802229,2.632311977715877,1.6295264623955432,0.9192200557103064,0.4596100278551532,0.3760445682451254,0.04178272980501393,48.969359331476326,2.6740947075208914,2.9665738161559885,2.883008356545961,1.6295264623955432,0.0,0.0,0.0,4.554317548746518,0.0,0.0,0.0,0.0,0.0,0.0,60000000.0
1286,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,19.0,2005.0,11,10,794,0.0,0.0,0.0,0.22670025188916876,0.0,0.03400503778337531,0.03400503778337531,0.022670025188916875,2.1536523929471034,3.400503778337532,6.687657430730479,0.22670025188916876,0.22670025188916876,0.4534005037783375,2.607052896725441,1.3602015113350125,0.906801007556675,3.513853904282116,0.0,59.28211586901763,1.1335012594458438,0.906801007556675,1.2468513853904282,1.81360201511335,0.0,0.0,0.0,3.400503778337532,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
1287,Marash Kumbulla,al ALB,DF,Espanyol,es La Liga,25.0,2000.0,23,22,1912,0.09414225941422594,0.0,0.09414225941422594,0.2824267782426778,0.0,0.05177824267782427,0.05177824267782427,0.0,0.4236401673640168,2.2123430962343096,0.09414225941422594,0.37656903765690375,0.1412133891213389,0.04707112970711297,1.647489539748954,0.8472803347280335,0.9884937238493723,6.825313807531381,0.09414225941422594,53.7081589958159,0.09414225941422594,0.4707112970711297,0.04707112970711297,1.3179916317991631,0.0,0.0,0.0,2.4476987447698746,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0
1288,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,32.0,1993.0,12,6,567,0.15873015873015872,0.0,0.15873015873015872,0.15873015873015872,0.0,0.03174603174603175,0.03174603174603175,0.09523809523809522,0.6349206349206349,5.079365079365079,1.4285714285714284,0.6349206349206349,0.47619047619047616,0.31746031746031744,2.0634920634920633,1.2698412698412698,1.4285714285714284,1.2698412698412698,0.0,50.317460317460316,0.15873015873015872,0.7936507936507936,0.31746031746031744,1.2698412698412698,0.0,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0
1289,Khvicha Kvaratskhelia,ge GEO,"FW,MF",Napoli,it Serie A,24.0,2001.0,17,15,1178,0.38200339558573854,0.22920203735144315,0.30560271646859083,0.07640067911714771,0.0,0.31324278438030556,0.2597623089983022,0.2826825127334465,5.65365025466893,4.354838709677419,6.799660441426147,3.7436332767402374,1.2224108658743633,2.1392190152801356,1.1460101867572157,0.6876061120543294,0.30560271646859083,0.5348047538200339,0.0,50.34804753820034,3.208828522920204,1.9100169779286926,1.604414261460102,0.9168081494057726,0.0,0.0,0.0,3.4380305602716468,0.0,0.0,0.0,0.0,0.0,0.0,85000000.0
1289,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,fr Ligue 1,24.0,2001.0,7,5,416,0.21634615384615385,0.4326923076923077,0.21634615384615385,0.0,0.0,0.36778846153846156,0.36778846153846156,0.670673076923077,3.894230769230769,4.543269230769231,13.413461538461538,3.2451923076923075,1.2980769230769231,2.8125,0.8653846153846154,0.4326923076923077,0.4326923076923077,0.6490384615384616,0.0,60.14423076923077,2.8125,1.9471153846153846,2.379807692307692,1.0817307692307694,0.0,0.0,0.0,3.894230769230769,0.0,0.0,0.0,0.0,0.0,0.0,85000000.0
1290,Moritz-Broni Kwarteng,gh GHA,"MF,FW",Bochum,de Bundesliga,26.0,1998.0,7,0,172,0.0,0.0,0.0,0.5232558139534884,0.0,0.10465116279069767,0.10465116279069767,0.10465116279069767,2.0930232558139537,6.27906976744186,8.372093023255815,3.13953488372093,0.5232558139534884,2.0930232558139537,2.0930232558139537,1.569767441860465,0.0,0.5232558139534884,0.0,54.41860465116279,0.5232558139534884,3.13953488372093,1.0465116279069768,1.569767441860465,0.0,0.0,0.0,4.186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0
