Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur,x,y
2490,Kevin Vogt,de GER,DF,Union Berlin,de Bundesliga,33.0,1991.0,15,14,1196,0.0752508361204013,0.0,0.0,0.3762541806020066,0.0,0.060200668896321,0.0,0.0,0.6020066889632107,4.364548494983278,0.0,0.0,0.0,0.0752508361204013,0.677257525083612,0.451505016722408,0.677257525083612,4.816053511705686,0.0,67.34949832775919,0.0,0.3762541806020066,0.0752508361204013,0.6020066889632107,0.0,0.0752508361204013,0.0,6.020066889632107,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-1.206407831427486,-0.680524301261462
2491,Mërgim Vojvoda,xk KVX,DF,Como,it Serie A,30.0,1995.0,2,0,36,0.0,0.0,0.0,2.5,0.0,0.25,0.25,0.0,5.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,62.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.2811991467329255,-0.6133121266941708
2491,Mërgim Vojvoda,xk KVX,DF,Torino,it Serie A,30.0,1995.0,17,12,1105,0.0,0.0,0.0,0.3257918552036199,0.0,0.0325791855203619,0.0325791855203619,0.0325791855203619,1.4660633484162895,5.212669683257919,2.769230769230769,0.4072398190045249,0.0,0.8959276018099547,1.4660633484162895,0.8144796380090499,0.5701357466063348,1.9547511312217196,0.0814479638009049,71.26696832579185,0.2443438914027149,0.6515837104072398,0.6515837104072398,1.0588235294117647,0.0,0.0,0.0,4.3167420814479645,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.6866711357484968,-0.7835782298731806
2492,Kevin Volland,de GER,"FW,MF",Union Berlin,de Bundesliga,32.0,1992.0,3,0,53,0.0,0.0,0.0,1.6981132075471697,0.0,0.0,0.0,0.0,0.0,1.6981132075471697,6.792452830188679,0.0,0.0,0.0,0.0,0.0,0.0,1.6981132075471697,0.0,25.471698113207548,0.0,1.6981132075471697,3.3962264150943398,5.09433962264151,0.0,0.0,0.0,1.6981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,-1.0319824363026147,0.07512555672242859
2493,Aster Vranckx,be BEL,MF,Wolfsburg,de Bundesliga,22.0,2002.0,11,3,337,0.0,0.0,0.0,0.2670623145400593,0.0,0.0,0.0,0.0,1.0682492581602374,3.471810089020772,1.3353115727002969,0.0,0.0,0.2670623145400593,1.8694362017804156,1.0682492581602374,1.602373887240356,1.8694362017804156,0.0,44.59940652818991,0.2670623145400593,2.937685459940653,0.8011869436201781,2.136498516320475,0.0,0.0,0.0,4.27299703264095,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,-1.040763289234059,-0.49730530648041016
2494,Stefan de Vrij,nl NED,DF,Inter,it Serie A,33.0,1992.0,22,14,1366,0.1317715959004392,0.0,0.1317715959004392,0.0658857979502196,0.0,0.0592972181551976,0.0592972181551976,0.0,0.527086383601757,4.348462664714495,0.2635431918008785,0.7247437774524158,0.1317715959004392,0.0658857979502196,1.054172767203514,0.6588579795021963,1.2518301610541729,3.821376281112738,0.0,84.20204978038068,0.2635431918008785,0.1317715959004392,0.0658857979502196,0.2635431918008785,0.0,0.0,0.0,3.294289897510981,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,-0.7642468806500974,-0.4396897498786903
2495,Ibrahima Wadji,sn SEN,"MF,FW",Saint-Étienne,fr Ligue 1,29.0,1995.0,4,0,104,0.0,0.0,0.0,0.0,0.0,0.173076923076923,0.173076923076923,0.0,2.5961538461538463,0.0,6.057692307692308,3.4615384615384617,0.0,0.8653846153846154,3.4615384615384617,3.4615384615384617,0.0,0.0,0.0,28.557692307692307,0.8653846153846154,6.057692307692308,3.4615384615384617,2.5961538461538463,0.0,0.0,0.0,1.7307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.48917057562003635,0.3035560346627418
2496,Robert Wagner,de GER,MF,St. Pauli,de Bundesliga,21.0,2003.0,8,5,364,0.0,0.0,0.0,0.2472527472527472,0.0,0.0247252747252747,0.0247252747252747,0.0,0.2472527472527472,1.978021978021978,2.2252747252747254,0.4945054945054945,0.0,0.0,1.7307692307692308,0.4945054945054945,0.2472527472527472,2.2252747252747254,0.0,40.05494505494505,0.2472527472527472,0.7417582417582418,1.4835164835164836,1.2362637362637363,0.0,0.0,0.0,4.697802197802198,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-1.0858398908178826,-0.07862603970447059
2497,Elye Wahi,fr FRA,"FW,MF",Eint Frankfurt,de Bundesliga,22.0,2003.0,5,1,163,0.0,0.0,0.0,0.5521472392638037,0.0,0.2760736196319018,0.2760736196319018,0.0552147239263803,1.6564417177914113,2.208588957055215,8.282208588957054,3.3128834355828225,0.5521472392638037,0.5521472392638037,0.0,0.0,0.0,0.5521472392638037,0.0,27.607361963190183,0.5521472392638037,3.3128834355828225,0.5521472392638037,1.1042944785276074,0.0,0.0,0.0,2.208588957055215,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.5623398535335997,0.9300644828438397
2497,Elye Wahi,fr FRA,FW,Marseille,fr Ligue 1,22.0,2003.0,13,7,574,0.470383275261324,0.156794425087108,0.313588850174216,0.156794425087108,0.0,0.940766550522648,0.8153310104529617,0.0627177700348432,1.0975609756097562,1.0975609756097562,6.428571428571428,2.508710801393728,1.411149825783972,0.940766550522648,0.0,0.0,0.156794425087108,0.0,0.0,25.243902439024392,1.254355400696864,2.35191637630662,1.724738675958188,2.6655052264808363,0.0,0.0,0.0,1.254355400696864,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,2.9092285545564214,2.6814601789704158
